专	專
业	業
丛	叢
东	東
丝	絲
丢	丟
两	兩
严	嚴
丧	喪
个	個
临	臨
丽	麗
举	舉
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
争	爭
亏	虧
亚	亞
亘	亙
亩	畝
亲	親
亵	褻
亸	嚲
亿	億
仅	僅
从	從
仑	侖
仓	倉
仪	儀
们	們
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伫	佇
佥	僉
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
债	債
倾	傾
偬	傯
偻	僂
偾	僨
偿	償
傥	儻
傧	儐
储	儲
傩	儺
兑	兌
兖	兗
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
冁	囅
内	內
冈	岡
册	冊
写	寫
军	軍
农	農
冯	馮
决	決
况	況
冻	凍
净	淨
凉	涼
减	減
凄	淒
凑	湊
凛	凜
凤	鳳
凯	凱
击	擊
凿	鑿
刍	芻
刘	劉
则	則
刚	剛
创	創
删	刪
刬	剗
刭	剄
刹	剎
刽	劊
刿	劌
剀	剴
剂	劑
剐	剮
剑	劍
剥	剝
剧	劇
劝	勸
办	辦
务	務
劢	勱
动	動
励	勵
劲	勁
劳	勞
势	勢
勋	勳
勚	勩
匀	勻
匦	匭
匮	匱
区	區
医	醫
华	華
协	協
单	單
卖	賣
卢	盧
卫	衛
却	卻
厅	廳
厉	厲
压	壓
厌	厭
厍	厙
厐	龎
厘	釐
厢	廂
厣	厴
厦	廈
厨	廚
厩	廄
厮	廝
县	縣
叁	叄
参	參
双	雙
变	變
叙	敘
叠	疊
号	號
叹	歎
叽	嘰
吓	嚇
吕	呂
吗	嗎
吣	唚
吨	噸
听	聽
吴	吳
呐	吶
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
咏	詠
咙	嚨
咛	嚀
咝	噝
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
啧	嘖
啬	嗇
啭	囀
啮	齧
啴	嘽
啸	嘯
㖞	喎
喷	噴
喽	嘍
啰	囉
喾	嚳
嗫	囁
嗳	噯
嘘	噓
嘤	嚶
嘱	囑
噜	嚕
嚣	囂
园	園
囱	囪
围	圍
囵	圇
国	國
图	圖
圆	圓
圣	聖
圹	壙
场	場
坂	阪
块	塊
坚	堅
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
垄	壟
垅	壠
垆	壚
垒	壘
垦	墾
垩	堊
垫	墊
垭	埡
垱	壋
垲	塏
垴	堖
埘	塒
埙	壎
埚	堝
埯	垵
堑	塹
堕	墮
𡒄	壈
壮	壯
声	聲
壶	壺
壸	壼
处	處
备	備
够	夠
头	頭
夹	夾
夺	奪
奁	奩
奂	奐
奋	奮
奥	奧
妆	妝
妇	婦
妈	媽
